,MODEL,PRICE,RATING,DESCRIPTION
20,"Xiaomi 14 CIVI (Matcha Green, 512 GB)","₹47,999",4.3,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
21,"vivo X70 Pro+ (Enigma Black, 256 GB)","₹48,499",4.5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) WQHD Display50MP + 48MP + 12MP + 8MP | 32MP Front Camera4500 mAh BatteryQualcomm Snapdragon 888+ 5G Processor1 Year for Handset and 6 Months for In-box Accessories
22,"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹45,999",4.5,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
23,"Xiaomi 14 CIVI (Aqua Blue, 512 GB)","₹48,999",4.3,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
24,"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)","₹44,999",4.5,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
25,"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹44,999",4.5,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
26,"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹38,999",4.3,8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
27,"OnePlus 12R (Cool Blue, 256 GB)","₹37,970",4.5,"8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
28,"Google Pixel 7 Pro (Obsidian, 128 GB)","₹44,999",4.3,12 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 48MP + 12MP | 10.8MP Front Camera4926 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty
29,"Google Pixel 7 Pro (Hazel, 128 GB)","₹44,999",4.3,12 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 48MP + 12MP | 10.8MP Front Camera4926 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty
